date,relative_day,channel,content_type,title,hook,flywheel_stage,audience,risk_tier,score,approval_status,cta
2026-06-15,T-4,linkedin,thought_leadership,T-4 — launch countdown,T-4 to launch: launch countdown,attention,career_changers,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-15,T-4,instagram,caption,T-4 — launch countdown,T-4 to launch: launch countdown,attention,career_changers,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-15,T-4,instagram,reel_script,T-4 — launch countdown,T-4 to launch: launch countdown,attention,career_changers,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-15,T-4,tiktok,tiktok_script,T-4 — launch countdown,T-4 to launch: launch countdown,attention,career_changers,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-15,T-4,email,launch_email,T-4 — launch countdown,T-4 to launch: launch countdown,trust,career_changers,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-15,T-4,community,community_post,T-4 — launch countdown,T-4 to launch: launch countdown,community,career_changers,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-16,T-3,linkedin,thought_leadership,T-3 — product demo,T-3 to launch: product demo,attention,working_professionals,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-16,T-3,instagram,caption,T-3 — product demo,T-3 to launch: product demo,attention,working_professionals,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-16,T-3,instagram,reel_script,T-3 — product demo,T-3 to launch: product demo,attention,working_professionals,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-16,T-3,tiktok,tiktok_script,T-3 — product demo,T-3 to launch: product demo,attention,working_professionals,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-16,T-3,email,launch_email,T-3 — product demo,T-3 to launch: product demo,trust,working_professionals,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-16,T-3,community,community_post,T-3 — product demo,T-3 to launch: product demo,community,working_professionals,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-17,T-2,linkedin,thought_leadership,T-2 — simulation walkthrough,T-2 to launch: simulation walkthrough,attention,employers,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
2026-06-17,T-2,instagram,caption,T-2 — simulation walkthrough,T-2 to launch: simulation walkthrough,attention,employers,low,89,PENDING_FOUNDER_APPROVAL,Start free → https://aladiah.academy
